Fill,Beam E,Start T,Stop T,Blue P_0,Blue dP/dT,Yellow P_0,Yellow dP/dT,Yellow dP/dT Error,Yellow P_0 Error,Blue dP/dT Error,Blue P_0 Error,Duration,Yellow P_f,Blue P_f,Yellow P_avg,Blue P_avg
34589,100,2024-06-08 11:25:50,2024-06-08 11:26:58,57.64,-0.18,56.53,-0.04,0.74,3.03,0.54,2.82,68.0,56.52957288444445,57.63804024,56.529786442222225,57.63902012
34590,100,2024-06-08 12:42:50,2024-06-08 12:44:42,59.95,-0.18,56.61,-0.04,0.74,2.62,0.54,2.68,112.0,56.609295519999996,59.946642800000006,56.60964776,59.948321400000005
34591,100,2024-06-08 14:05:53,2024-06-08 20:20:41,59.13,-0.36,61.81,-0.59,0.35,1.92,0.33,1.74,22488.0,59.531971846666664,57.80028456000001,60.67098592333333,58.46514228000001
34592,100,2024-06-08 21:46:35,2024-06-09 03:56:00,48.4,-0.15,54.83,0.25,0.44,2.29,0.41,1.9,22165.0,55.67396315972222,47.95300583333333,55.25198157986111,48.176502916666664
34593,100,2024-06-09 06:04:53,2024-06-09 12:22:46,52.05,-0.01,52.41,0.16,0.4,2.09,0.4,1.9,22673.0,52.93812974666666,52.017218620833326,52.67406487333333,52.033609310416665
34594,100,2024-06-09 14:01:15,2024-06-09 18:32:44,53.21,-0.44,55.22,-0.24,0.75,2.22,0.75,2.05,16289.0,54.62034761333333,52.15065393444444,54.92017380666667,52.68032696722222
34595,100,2024-06-09 22:15:49,2024-06-09 22:19:02,43.14,-0.18,53.1,-0.04,0.74,3.32,0.54,2.38,193.0,53.0988613,43.13583699,53.09943065,43.137918495
34596,100,2024-06-10 00:02:26,2024-06-10 06:15:13,47.9,0.33,49.83,0.34,0.45,2.42,0.4,1.92,22367.0,50.88262829833333,48.882097691666665,50.356314149166664,48.39104884583333
34597,100,2024-06-10 07:36:36,2024-06-10 15:21:21,46.09,-0.08,50.41,-0.07,0.31,2.06,0.34,1.93,27885.0,50.13667277916666,45.804395633333336,50.27333638958333,45.94719781666667
34603,100,1970-01-01 00:00:00,1970-01-01 00:00:00,45.98,-0.18,41.65,-0.04,0.74,2.63,0.54,2.73,0.0,41.65,45.98,41.65,45.98
34607,100,2024-06-11 03:31:50,2024-06-11 03:33:12,48.19,-0.18,50.81,-0.04,0.74,2.85,0.54,2.46,82.0,50.80953706444445,48.18802421,50.80976853222222,48.189012105
34608,100,2024-06-11 05:50:56,2024-06-11 12:14:20,59.4,-0.37,54.66,-0.37,0.38,1.98,0.39,2.06,23004.0,53.36767362,57.9956058,54.01383681,58.6978029
